Snapshot ID,NodeName,Initiator,VectorClock,Content,BufferedMessages
0,control (1_control),control (3_control),"27,0,0,19,0","control (4_control): [sensor (4)_6,159.58,27,false,;sensor (4)_7,145.28,29,false,;sensor (4)_8,104.23,32,false,;sensor (4)_9,25.80,34,false,;sensor (4)_10,149.34,36,false,;sensor (4)_11,25.48,39,false,;sensor (4)_12,80.42,41,false,;sensor (4)_13,122.49,43,false,;sensor (4)_14,18.09,46,false,;sensor (4)_15,26.46,48,false,;sensor (4)_16,164.18,50,false,;sensor (4)_17,27.36,53,false,;sensor (4)_18,106.07,55,false,;sensor (4)_19,18.51,57,false,;sensor (4)_20,151.51,60,false,;]@",
0,control (2_control),control (3_control),"0,0,0,0,0","network (1):sensor (4)_1,sensor (4)_3,sensor (4)_4,sensor (4)_10,sensor (4)_11,sensor (4)_15,sensor (4)_20,@network (3):sensor (4)_2,sensor (4)_5,sensor (4)_6,sensor (4)_7,sensor (4)_8,sensor (4)_9,sensor (4)_12,sensor (4)_13,sensor (4)_14,sensor (4)_16,sensor (4)_17,sensor (4)_18,sensor (4)_19,@",
0,control (3_control),control (3_control),"0,0,0,0,0","network (4):sensor (4)_6,sensor (4)_7,sensor (4)_8,sensor (4)_9,sensor (4)_10,sensor (4)_11,sensor (4)_12,sensor (4)_13,sensor (4)_14,sensor (4)_15,sensor (4)_16,sensor (4)_17,sensor (4)_18,sensor (4)_19,sensor (4)_20,@",
0,control (4_control),control (3_control),"0,0,0,21,0","159.58, 145.28, 104.23, 25.80, 149.34, 25.48, 80.42, 122.49, 18.09, 26.46, 164.18, 27.36, 106.07, 18.51, 151.51",
0,control (5_control),control (3_control),"0,0,0,19,28","control (4_control): [sensor (4)_6,159.58,30,false,;sensor (4)_7,145.28,32,false,;sensor (4)_8,104.23,35,false,;sensor (4)_9,25.80,37,false,;sensor (4)_10,149.34,40,false,;sensor (4)_11,25.48,43,false,;sensor (4)_12,80.42,45,false,;sensor (4)_13,122.49,47,false,;sensor (4)_14,18.09,50,false,;sensor (4)_15,26.46,52,false,;sensor (4)_16,164.18,54,false,;sensor (4)_17,27.36,57,false,;sensor (4)_18,106.07,59,false,;sensor (4)_19,18.51,61,false,;sensor (4)_20,151.51,64,false,;]@",
1,control (3_control),control (3_control),"0,0,0,0,0","network (4):sensor (4)_15,sensor (4)_16,sensor (4)_17,sensor (4)_18,sensor (4)_19,sensor (4)_20,sensor (4)_21,sensor (4)_22,sensor (4)_23,sensor (4)_24,sensor (4)_25,sensor (4)_26,sensor (4)_27,sensor (4)_28,sensor (4)_29,@",
1,control (4_control),control (3_control),"0,0,0,30,0","26.46, 164.18, 27.36, 106.07, 18.51, 151.51, 19.64, 15.88, 128.77, 16.53, 95.07, 90.88, 21.47, 14.83, 100.28",
1,control (5_control),control (3_control),"0,0,0,26,38","control (4_control): [sensor (4)_15,26.46,52,false,;sensor (4)_16,164.18,54,false,;sensor (4)_17,27.36,57,false,;sensor (4)_18,106.07,59,false,;sensor (4)_19,18.51,61,false,;sensor (4)_20,151.51,64,false,;sensor (4)_21,19.64,67,false,;sensor (4)_22,15.88,69,false,;sensor (4)_23,128.77,71,false,;sensor (4)_24,16.53,74,false,;sensor (4)_25,95.07,76,false,;sensor (4)_26,90.88,78,false,;sensor (4)_27,21.47,81,false,;sensor (4)_28,14.83,83,false,;sensor (4)_29,100.28,85,false,;]@",
1,control (1_control),control (3_control),"37,0,0,26,0","control (4_control): [sensor (4)_15,26.46,48,false,;sensor (4)_16,164.18,50,false,;sensor (4)_17,27.36,53,false,;sensor (4)_18,106.07,55,false,;sensor (4)_19,18.51,57,false,;sensor (4)_20,151.51,60,false,;sensor (4)_21,19.64,63,false,;sensor (4)_22,15.88,65,false,;sensor (4)_23,128.77,67,false,;sensor (4)_24,16.53,70,false,;sensor (4)_25,95.07,72,false,;sensor (4)_26,90.88,74,false,;sensor (4)_27,21.47,77,false,;sensor (4)_28,14.83,79,false,;sensor (4)_29,100.28,81,false,;]@",
1,control (2_control),control (3_control),"0,0,0,0,0","network (1):sensor (4)_1,sensor (4)_3,sensor (4)_4,sensor (4)_10,sensor (4)_11,sensor (4)_15,sensor (4)_20,sensor (4)_21,sensor (4)_26,sensor (4)_27,sensor (4)_29,@network (3):sensor (4)_7,sensor (4)_8,sensor (4)_9,sensor (4)_12,sensor (4)_13,sensor (4)_14,sensor (4)_16,sensor (4)_17,sensor (4)_18,sensor (4)_19,sensor (4)_22,sensor (4)_23,sensor (4)_24,sensor (4)_25,sensor (4)_28,@",
